dataset,method,ir,fpr,acc,latency_ms,n,status,source,note
BIPIA,SmoothLLM-style perturbation + qwen2.5 local judge,0.614,0.226,0.694,270.1,2400,implemented-local,data/smoothllm_ollama_qwen25_1copy_headtail1200_full_3datasets.md,"Local SmoothLLM-style perturbation baseline with one perturbed copy and qwen2.5:7b-instruct judge."
InjecAgent,SmoothLLM-style perturbation + qwen2.5 local judge,0.897,0.176,0.896,214.2,2125,implemented-local,data/smoothllm_ollama_qwen25_1copy_headtail1200_full_3datasets.md,"Local SmoothLLM-style perturbation baseline with one perturbed copy and qwen2.5:7b-instruct judge."
AgentDojo,SmoothLLM-style perturbation + qwen2.5 local judge,0.914,0.372,0.904,202.5,2408,implemented-local-old-agentdojo,data/smoothllm_ollama_qwen25_1copy_headtail1200_full_3datasets.md,"Local SmoothLLM-style perturbation baseline; AgentDojo N=2408 comes from the earlier converted AgentDojo full split, not the current 653-row table split."
BIPIA,Erase-and-Check official-style + qwen2.5 local,0.188,0.001,0.593,530.8,2400,implemented-local,data/erase_check_ollama_qwen25_suffix_m1_full_3datasets.md,"Certified-LLM-safety/Erase-and-Check style local run with qwen2.5:7b-instruct."
InjecAgent,Erase-and-Check official-style + qwen2.5 local,0.906,0.0,0.906,373.2,2125,implemented-local,data/erase_check_ollama_qwen25_suffix_m1_full_3datasets.md,"Certified-LLM-safety/Erase-and-Check style local run with qwen2.5:7b-instruct."
AgentDojo,Erase-and-Check official-style + qwen2.5 local,0.652,0.081,0.662,323.6,2408,implemented-local-old-agentdojo,data/erase_check_ollama_qwen25_suffix_m1_full_3datasets.md,"Certified-LLM-safety/Erase-and-Check style local run; AgentDojo N=2408 comes from the earlier converted AgentDojo full split, not the current 653-row table split."
BIPIA,ToolEmu-Sandbox-style local tau=7,0.917,0.153,0.882,0.236,2400,adapted-local,data/table2_toolemu_sandbox_final_selected.md,"Local same-dataset reproduction of the ToolEmu-Sandbox defense idea; not strict official ToolEmu."
InjecAgent,ToolEmu-Sandbox-style local tau=7,0.581,0.294,0.644,0.183,4233,adapted-local,data/table2_toolemu_sandbox_final_selected.md,"Local same-dataset reproduction of the ToolEmu-Sandbox defense idea; not strict official ToolEmu."
AgentDojo,ToolEmu-Sandbox-style local tau=7,0.727,0.012,0.761,0.262,653,adapted-local,data/table2_toolemu_sandbox_final_selected.md,"Local same-dataset reproduction of the ToolEmu-Sandbox defense idea; not strict official ToolEmu."
BIPIA,WAMI paper-faithful,0.9975,0.005,0.99625,38.83584362498368,2400,implemented,data/paper_mine_ensemble_sourceaware_triplet_taua45_taub50_results.csv,"Final proposed WAMI result using the accepted paper-faithful operating point."
InjecAgent,WAMI paper-faithful,0.8676470588235294,0.058823529411764705,0.9045594141270966,41.971003401852016,4233,implemented,data/paper_mine_ensemble_sourceaware_triplet_taua45_taub50_results.csv,"Final proposed WAMI result using the accepted paper-faithful operating point."
AgentDojo,WAMI paper-faithful,0.9717813051146384,0.09302325581395349,0.9632465543644717,37.21692082707472,653,implemented,data/paper_mine_triplet_slot_seed4071_e4_tau50_results.csv,"Final proposed WAMI result using the accepted paper-faithful operating point."
