dataset,method,ir,fpr,acc,latency_ms,level,source,note
BIPIA,GuardReasoner-VL,,,,,missing-official,,Official agent-trajectory adapter/checkpoint not available.
BIPIA,BookAgent-style Constraint Verifier,0.9283333333333333,0.0,0.9641666666666666,0.10056508331520793,method-level,data/bookagent_constraint_verifier_full.csv,BookAgent VAS/ICR/TCC safety constraints adapted to agent trajectories.
BIPIA,AgentDojo official PI detector,0.4766666666666667,0.3408333333333333,0.5679166666666666,160.43646074996408,official-local-detector,data/agentdojo_official_detector_wami_datasets_full.csv,Official AgentDojo detector logic; WAMI-format tool-output adapter.
BIPIA,WAMI paper-faithful replay,0.9975,0.005,0.99625,38.83584362498368,main-replay,data/paper_mine_ensemble_sourceaware_triplet_taua45_taub50_results.csv,Main action-level replay result.
BIPIA,Live planner + WAMI,0.4,0.0,0.7,2239.4051649898756,live-agent-small,data/live_planner_wami_bipia_qwen3_10x10_summary.csv,Small qwen3-32b planner-only run; WAMI action block rate 100.0%.
InjecAgent,GuardReasoner-VL,,,,,missing-official,,Official agent-trajectory adapter/checkpoint not available.
InjecAgent,BookAgent-style Constraint Verifier,0.6968690702087287,0.0,0.8490432317505315,0.0640433734890532,method-level,data/bookagent_constraint_verifier_full.csv,BookAgent VAS/ICR/TCC safety constraints adapted to agent trajectories.
InjecAgent,AgentDojo official PI detector,0.7813092979127134,0.6470588235294118,0.5662650602409639,110.41892204110148,official-local-detector,data/agentdojo_official_detector_wami_datasets_full.csv,Official AgentDojo detector logic; WAMI-format tool-output adapter.
InjecAgent,WAMI paper-faithful replay,0.8676470588235294,0.058823529411764705,0.9045594141270966,41.971003401852016,main-replay,data/paper_mine_ensemble_sourceaware_triplet_taua45_taub50_results.csv,Main action-level replay result.
InjecAgent,Live planner + WAMI,0.9,0.0,0.95,2499.466649995884,live-agent-small,data/live_planner_wami_injecagent_qwen3_10x10_summary.csv,Small qwen3-32b planner-only run; WAMI action block rate 100.0%.
AgentDojo,GuardReasoner-VL,,,,,missing-official,,Official agent-trajectory adapter/checkpoint not available.
AgentDojo,BookAgent-style Constraint Verifier,0.599647266313933,0.03488372093023256,0.6477794793261868,0.09344578870382463,method-level,data/bookagent_constraint_verifier_full.csv,BookAgent VAS/ICR/TCC safety constraints adapted to agent trajectories.
AgentDojo,AgentDojo official PI detector,0.25749559082892415,0.2558139534883721,0.3215926493108729,47.33109846853781,official-local-detector,data/agentdojo_official_detector_wami_datasets_full.csv,Official AgentDojo detector logic; WAMI-format tool-output adapter.
AgentDojo,WAMI paper-faithful replay,0.9717813051146384,0.09302325581395349,0.9632465543644717,37.21692082707472,main-replay,data/paper_mine_triplet_slot_seed4071_e4_tau50_results.csv,Main action-level replay result.
AgentDojo,Live planner + WAMI,0.1,0.0,0.55,1983.1174700055271,live-agent-small,data/live_planner_wami_agentdojo_qwen3_10x10_summary.csv,Small qwen3-32b planner-only run; WAMI action block rate 100.0%.
