section,item,metric,paper,local,delta,unit,equivalence,cause,improvement
Table 1 main WAMI,BIPIA WAMI,IR,0.889,1.0,0.11099999999999999,percent,"method-level, not identical input pipeline",本地使用 converted intent/plan/TDG 全量数据；论文表格是完整 agent/benchmark 口径。,用原始 benchmark harness 生成 action trajectory，再经过同一个 WAMI gateway 评估。
Table 1 main WAMI,BIPIA WAMI,FPR,0.015,0.005833333333333334,-0.009166666666666667,percent,"method-level, not identical input pipeline",本地使用 converted intent/plan/TDG 全量数据；论文表格是完整 agent/benchmark 口径。,用原始 benchmark harness 生成 action trajectory，再经过同一个 WAMI gateway 评估。
Table 1 main WAMI,InjecAgent WAMI,IR,0.903,0.9606261859582542,0.057626185958254195,percent,"method-level, not identical input pipeline",本地使用 converted intent/plan/TDG 全量数据；论文表格是完整 agent/benchmark 口径。,用原始 benchmark harness 生成 action trajectory，再经过同一个 WAMI gateway 评估。
Table 1 main WAMI,InjecAgent WAMI,FPR,0.012,0.0,-0.012,percent,"method-level, not identical input pipeline",本地使用 converted intent/plan/TDG 全量数据；论文表格是完整 agent/benchmark 口径。,用原始 benchmark harness 生成 action trajectory，再经过同一个 WAMI gateway 评估。
Table 1 baselines,BIPIA GuardReasoner-VL,IR/FPR,,,,percent,not reproduced,论文值为 IR 62.5% / FPR 6.2%，但本地没有该 baseline 的官方模型和 harness 输出。,下载对应官方代码，固定同一数据切分，输出 IR/FPR 后再填入差值。
Table 1 baselines,BIPIA WebAgentGuard,IR/FPR,,,,percent,not reproduced,论文值为 IR 84.7% / FPR 28.5%，但本地没有该 baseline 的官方模型和 harness 输出。,下载对应官方代码，固定同一数据切分，输出 IR/FPR 后再填入差值。
Table 1 baselines,BIPIA BookAgent,IR/FPR,,,,percent,not reproduced,论文值为 IR 86.3% / FPR 14.8%，但本地没有该 baseline 的官方模型和 harness 输出。,下载对应官方代码，固定同一数据切分，输出 IR/FPR 后再填入差值。
Table 1 baselines,InjecAgent GuardReasoner-VL,IR/FPR,,,,percent,not reproduced,论文值为 IR 38.4% / FPR 5.8%，但本地没有该 baseline 的官方模型和 harness 输出。,下载对应官方代码，固定同一数据切分，输出 IR/FPR 后再填入差值。
Table 1 baselines,InjecAgent WebAgentGuard,IR/FPR,,,,percent,not reproduced,论文值为 IR 91.2% / FPR 36.4%，但本地没有该 baseline 的官方模型和 harness 输出。,下载对应官方代码，固定同一数据切分，输出 IR/FPR 后再填入差值。
Table 1 baselines,InjecAgent BookAgent,IR/FPR,,,,percent,not reproduced,论文值为 IR 85.5% / FPR 17.2%，但本地没有该 baseline 的官方模型和 harness 输出。,下载对应官方代码，固定同一数据切分，输出 IR/FPR 后再填入差值。
Table 2 frontier comparison,"InjecAgent WAMI (ours, full model)",IR,0.903,0.9606261859582542,0.057626185958254195,percent,direct local WAMI,本地 WAMI 是轻量 NumPy/结构化计划实现，因此延迟远低于论文。,用完整论文运行栈测端到端 latency，并固定同样数据切分。
Table 2 frontier comparison,"InjecAgent WAMI (ours, full model)",FPR,0.012,0.0,-0.012,percent,direct local WAMI,本地 WAMI 是轻量 NumPy/结构化计划实现，因此延迟远低于论文。,用完整论文运行栈测端到端 latency，并固定同样数据切分。
