dataset,mode,ir,fpr,acc,latency_ms,n
injecagent_wami,a,0.7836812144212524,0.058823529411764705,0.8627450980392157,41.971003401852016,4233
injecagent_wami,b,0.7481024667931688,0.0,0.8745570517363572,41.971003401852016,4233
injecagent_wami,or,0.8676470588235294,0.058823529411764705,0.9045594141270966,41.971003401852016,4233
injecagent_wami,and,0.6641366223908919,0.0,0.8327427356484762,41.971003401852016,4233
bipia_wami,a,0.9941666666666666,0.0016666666666666668,0.99625,38.83584362498368,2400
bipia_wami,b,0.9933333333333333,0.005,0.9941666666666666,38.83584362498368,2400
bipia_wami,or,0.9975,0.005,0.99625,38.83584362498368,2400
bipia_wami,and,0.99,0.0016666666666666668,0.9941666666666666,38.83584362498368,2400
agentdojo_wami,a,0.9841269841269841,0.23255813953488372,0.9555895865237366,70.03340796335026,653
agentdojo_wami,b,0.9717813051146384,0.09302325581395349,0.9632465543644717,70.03340796335026,653
agentdojo_wami,or,0.9929453262786596,0.2558139534883721,0.9601837672281777,70.03340796335026,653
agentdojo_wami,and,0.9629629629629629,0.06976744186046512,0.9586523736600306,70.03340796335026,653
