group,query_id,relevant_tools,generated_tools,tool_match,planner_success_proxy,wami_allowed,wami_reason,wami_score,latency_ms,query,generated_plan
G1,1,Checkhealth_for_SQUAKE;Projects_for_SQUAKE,Checkhealth_for_SQUAKE;Projects_for_SQUAKE,1.0,True,True,trajectory remained aligned,0.20421910285949707,2194.001500029117,"I'm working on a logistics project for my company and need to check the health of the SQUAKE API. Can you verify the API health by calling the 'Checkhealth' API endpoint? Additionally, I would like to retrieve the list of projects using the 'Projects' API endpoint.","Action: Checkhealth_for_SQUAKE(input="""")
Action: Projects_for_SQUAKE(input="""")"
G1,2,Checkhealth_for_SQUAKE;Projects_for_SQUAKE,Projects_for_SQUAKE;Checkhealth_for_SQUAKE,1.0,True,True,trajectory remained aligned,3.033775806427002,511.79010001942515,"As a sustainability enthusiast, I'm interested in exploring the projects available on the SQUAKE platform. Could you fetch the list of projects using the 'Projects' API? Additionally, I would like to check the health of the SQUAKE API using the 'Checkhealth' API.","Action: Projects_for_SQUAKE(input="""")
Action: Checkhealth_for_SQUAKE(input="""")"
G1,3,Checkhealth_for_SQUAKE;Projects_for_SQUAKE,Projects_for_SQUAKE;Checkhealth_for_SQUAKE,1.0,True,True,trajectory remained aligned,2.2147417068481445,642.4700999632478,"I'm organizing a sustainability event for my community and would like to showcase various projects promoting eco-friendly practices. Could you provide me with a list of projects available on the SQUAKE platform using the 'Projects' API? Additionally, I would like to check the health of the SQUAKE API using the 'Checkhealth' API.","Action: Projects_for_SQUAKE(input=""API='Projects'"")
Action: Checkhealth_for_SQUAKE(input=""API='Checkhealth'"")"
G1,4,Checkhealth_for_SQUAKE;Projects_for_SQUAKE,Projects_for_SQUAKE;Checkhealth_for_SQUAKE,1.0,True,True,trajectory remained aligned,2.2371816635131836,632.424799958244,"My friend and I are passionate about sustainability and want to contribute to projects that promote eco-friendly practices. Can you fetch the list of projects available on the SQUAKE platform using the 'Projects' API? Additionally, I would like to check the health of the SQUAKE API using the 'Checkhealth' API.","Action: Projects_for_SQUAKE(input=""API='Projects'"")
Action: Checkhealth_for_SQUAKE(input=""API='Checkhealth'"")"
G1,5,/tracking/correo_argentino/create_task/:service/:tracking_code_for_Transportistas de Argentina;/tracking/correo_argentino/result_task/:task_id_for_Transportistas de Argentina,/tracking/correo_argentino/create_task/service/ABC123,0.0,False,True,no tool calls found,0.0,501.3271999778226,I need to track a package sent through Correo Argentino. The tracking code is 'ABC123'. Please create a task to get the history of the package and provide me with the task ID. I will use the task ID to retrieve the result later.,"Action: /tracking/correo_argentino/create_task/service/ABC123(input="""")"
G2,1,Get Tracking Data_for_Create Container Tracking;Checkhealth_for_SQUAKE,Get;Checkhealth_for_SQUAKE,0.5,False,True,trajectory remained aligned,-0.7678835391998291,1004.6576999593526,"I'm starting an e-commerce business and I need to integrate a package tracking feature. Can you provide me with the tracking data for the shipment with ID 6045e2f44e1b233199a5e77a? Also, I would like to check the health status of the SQUAKE authentication system.","Action: Get Tracking Data_for_Create Container Tracking(input=""tracking_code=6045e2f44e1b233199a5e77a"")
Action: Checkhealth_for_SQUAKE(input="""")"
G2,2,il_for_Turkey Postal Codes;/tracking/correo_argentino/result_task/:task_id_for_Transportistas de Argentina,il_for_Turkey;Get,0.0,False,True,no tool calls found,0.0,731.8835000041872,"I'm planning a trip to Istanbul and I need to know the postal codes for different districts. Can you provide me with the postal codes for the districts in Istanbul with plate number 34? Additionally, I would like to track a package with the task ID 987654321.","Action: il_for_Turkey Postal Codes(input=""34"")
Action: Get Tracking Data_for_Create Container Tracking(input=""987654321"")"
G2,3,il_for_Turkey Postal Codes;/tracking/correo_argentino/result_task/:task_id_for_Transportistas de Argentina,/tracking/correo_argentino/result_task/;il_for_Turkey,0.0,False,True,no tool calls found,0.0,869.2014999687672,"I'm planning a trip to Buenos Aires and I need to know the postal codes for different districts. Can you provide me with the postal codes for the districts in Buenos Aires with plate number 1? Additionally, I would like to track a package with the task ID 987654321.","Action: /tracking/correo_argentino/result_task/(task_id=""987654321"")
Action: il_for_Turkey Postal Codes(input={""plate_number"": 1})"
G3,1,List of Cocktails_for_The Cocktail DB;Detailed Cocktail Recipe by ID_for_The Cocktail DB;newsSearch_for_Web Search,List;Detailed;newsSearch_for_Web,0.0,False,True,no tool calls found,0.0,860.0593999726698,"I'm planning a surprise birthday party for my best friend. Can you help me find a list of popular cocktails to serve at the party? Also, I need some suggestions for cocktail recipes that are easy to make. Additionally, find some interesting news articles related to birthday celebrations.","Action: List of Cocktails_for_The Cocktail DB(input="""")
Action: Detailed Cocktail Recipe by ID_for_The Cocktail DB(input="""")
Action: newsSearch_for_Web Search(input=""birthday celebrations"")"
G3,2,List of Cocktails_for_The Cocktail DB;Detailed Cocktail Recipe by ID_for_The Cocktail DB;newsSearch_for_Web Search;IEX Regulation SHO Threshold Securities List_for_Investors Exchange (IEX) Trading,List;newsSearch_for_Web;IEX,0.0,False,True,no tool calls found,0.0,1101.910899975337,"I'm a food enthusiast and I want to explore different cuisines. Can you suggest some popular cocktails and their recipes that pair well with different types of cuisine? Also, find some interesting news articles about the culinary world. Additionally, provide me with the current threshold securities list for NVIDIA's stock.","Action: List of Cocktails_for_The Cocktail DB(input=""cuisine"")
Action: newsSearch_for_Web Search(input=""culinary world"")
Action: IEX Regulation SHO Threshold Securities List_for_Investors Exchange (IEX) Trading(input=""NVIDIA"")"
