method,group,query_id,official_win,action_count,allowed,reason,latency_ms,query,plan
No Defense,G1,10,True,3,True,no defense,0.002600019797682762,Complete the ToolBench tool-use task successfully.,"Action: transitaires_for_transitaires(input=""{}"")
Action: transitaire_for_transitaires(input=""{ \""is_id\"": \""ACT_AGENCE_CALEDONIENNE_DE_TRANSIT\"" }"")"
No Defense,G1,11,True,4,True,no defense,0.000900006853044033,Complete the ToolBench tool-use task successfully.,"Action: transitaires_for_transitaires(input=""{}"")
Action: transitaire_for_transitaires(input=""{ \""is_id\"": \""Gondrand\"" }"")
Action: transitaires_for_transitaires(input=""{}"")"
No Defense,G1,57,True,4,True,no defense,0.000400003045797348,Complete the ToolBench tool-use task successfully.,"Action: products_for_seo_api(input=""{ \""query\"": \""latest iPhone 14\"" }"")
Action: news_for_seo_api(input=""{ \""query\"": \""iPhone 14\"" }"")
Action: search_for_seo_api(input=""{ \""query\"": \""iPhone 14 news\"" }"")"
No Defense,G1,59,True,5,True,no defense,0.000200001522898674,Complete the ToolBench tool-use task successfully.,"Action: images_for_seo_api(input=""{ \""query\"": \""technology and business\"" }"")
Action: search_for_seo_api(input=""{ \""query\"": \""catchy hashtags for project\"" }"")
Action: search_b_for_seo_api(input=""{ \""query\"": \""hashtags llamativos para proyecto\"" }"")
Action: search_b_for_seo_api(input=""{ \""query\"": \""hashtags accrocheurs pour projet\"" }"")"
No Defense,G1,69,False,6,True,no defense,0.000300002284348011,Complete the ToolBench tool-use task successfully.,"Action: latest_news_for_currents_news(input=""{}"")
Action: authenticate_authentication_system(input=""{}"")
Action: authenticate_authentication_system(input=""{}"")
Action: invalid_hallucination_function_name(input=""{}"")
Action: invalid_hallucination_function_name(input=""{}"")
Action: latest_news_for_currents_news(input=""{}"")"
No Defense,G2,102,True,4,True,no defense,0.000200001522898674,Complete the ToolBench tool-use task successfully.,"Action: carriers_detect_for_trackingmore_v2(input=""{ \""trackingnumber\"": \""YT2003521266065328\"" }"")
Action: packages_v2_track_for_trackingmore_v2(input=""{ \""trackingnumber\"": \""YT2003521266065328\"" }"")
Action: transitaires_for_transitaires(input=""{}"")"
No Defense,G2,10,False,4,True,no defense,0.000300002284348011,Complete the ToolBench tool-use task successfully.,"Action: track_package_for_amex_australia_fastway_australia_tracking(input=""{ \""tracking_number\"": \""GHI789\"" }"")
Action: latest_for_suivi_colis(input=""{ \""colisid\"": \""GHI789\"" }"")
Action: retorna_dados_do_endere_o_atrav_s_do_cep_for_cep_brazil(input=""{ \""cepnumber\"": \""24680\"" }"")"
No Defense,G2,119,False,5,True,no defense,0.000200001522898674,Complete the ToolBench tool-use task successfully.,"Action: api_tracking_for_pack_send(input=""{ \""reference\"": \""ABC456\"" }"")
Action: get_track_info_for_pridnestrovie_post(input=""{ \""track_number\"": \""RB413450335SG\"" }"")
Action: api_tracking_for_pack_send(input=""{ \""reference\"": \""ABC456\"" }"")
Action: get_track_info_for_pridnestrovie_post(input=""{ \""track_number\"": \""RB413450335SG\"" }"")
Action: api_tracking_for_pack_send(input=""{ \""reference\"": \""ABC456\"" }"")"
No Defense,G2,127,False,3,True,no defense,0.000200001522898674,Complete the ToolBench tool-use task successfully.,"Action: api_tracking_for_pack_send(input=""{ \""reference\"": \""YZA890\"" }"")
Action: get_track_info_for_pridnestrovie_post(input=""{ \""track_number\"": \""RB413450335SG\"" }"")"
No Defense,G2,52,True,5,True,no defense,0.000200001522898674,Complete the ToolBench tool-use task successfully.,"Action: get_track_info_for_pridnestrovie_post(input=""{ \""track_number\"": \""RB413450335SG\"" }"")
Action: retorna_dados_do_endere_o_atrav_s_do_cep_for_cep_brazil(input=""{ \""cepnumber\"": \""75094080\"" }"")
Action: retorna_dados_do_endere_o_atrav_s_do_cep_for_cep_brazil(input=""{ \""cepnumber\"": \""75094080\"" }"")
Action: get_track_info_for_pridnestrovie_post(input=""{ \""track_number\"": \""RB413450335SG\"" }"")
Action: get_track_info_for_pridnestrovie_post(input=""{ \""track_number\"": \""RB413450335SG\"" }"")"
