experiment,item,implementation,status,output,output_exists,command,missing,note,run_status,run_message
Table 1,WAMI on InjecAgent/BIPIA,Paper-faithful MINE/world-model ensemble over official converted datasets,implemented,data/paper_mine_ensemble_sourceaware_triplet_taua45_taub50_results.md,True,D:\论文111\.venv\Scripts\python.exe scripts/run_paper_mine_ensemble.py --model-a wami_paper_mine_sourceaware_recall_seed2061_e4_cuda.pt --model-b wami_paper_mine_triplet_slot_seed4071_e4_cuda.pt --test-data data/injecagent_wami.jsonl --test-data data/bipia_wami.jsonl --test-data data/agentdojo_wami.jsonl --tau-a -4.5 --tau-b -5.0 --output-md data/paper_mine_ensemble_sourceaware_triplet_taua45_taub50_results.md --output-csv data/paper_mine_ensemble_sourceaware_triplet_taua45_taub50_results.csv,,This is the current most faithful WAMI run without direct hard-rule vetoes.,,
Table 1,GuardReasoner-VL baseline,,blank,,False,,"GuardReasoner-VL weights/runtime or API, exact prompt, and benchmark adapter.",Leave blank until the official model/runtime is supplied.,,
Table 1,WebAgentGuard baseline,Paper-method local proxy exists,partial,data/webagentguard_paper_method_sample.md,True,D:\论文111\.venv\Scripts\python.exe scripts/run_webagentguard_paper_method.py --limit-attack 10 --limit-benign 10 --output-md data/webagentguard_paper_method_sample.md --output-csv data/webagentguard_paper_method_sample.csv,Official WebAgentGuard checkpoint or exact reasoning guard prompt/model for strict reproduction.,"Current code can run a method-shaped proxy, not the official baseline.",,
Table 1,AgentDojo official replacement for BookAgent,AgentDojo original benchmark harness with official defenses,implemented-official-smoke,data/agentdojo_official_spotlighting_workspace_2x2.md,True,D:\论文111\.venv\Scripts\python.exe scripts/run_agentdojo_official_table1.py --suite workspace --user-task user_task_0 --user-task user_task_1 --injection-task injection_task_0 --injection-task injection_task_1 --defense spotlighting_with_delimiting --attack injecagent --output-md data/agentdojo_official_spotlighting_workspace_2x2.md --output-csv data/agentdojo_official_spotlighting_workspace_2x2.csv,"For full official AgentDojo reproduction, expand beyond workspace 2x2 to all selected suites/user tasks/injection tasks and decide which official metric maps into Table 1.","This is now an official AgentDojo harness smoke/small run, not the converted-trajectory adaptation.",,
Table 2,No Defense,Metric baseline,implemented,data/table2_lite_results.md,True,D:\论文111\.venv\Scripts\python.exe scripts/run_table2.py --limit 0 --output-md data/table2_lite_results.md --output-csv data/table2_lite_results.csv,,No Defense is deterministic and needs no external model.,,
Table 2,Erase-and-Check,Qwen/API compatible official-style runner,partial,data/table2_official_erase_check_qwen_max_raw.md,True,D:\论文111\.venv\Scripts\python.exe scripts/run_table2_official_erase_check.py --limit 100 --output-md data/table2_official_erase_check_qwen_max_raw.md --output-csv data/table2_official_erase_check_qwen_max_raw.csv,API model/base URL/key and exact mask/reconstruction settings if strict Erase-and-Check is required.,Runnable when API configuration is present; capped by default to protect tokens.,,
Table 2,SmoothVLM,SmoothLLM/SmoothVLM-style runner,partial,data/smoothllm_qwen_judge_random50.md,True,D:\论文111\.venv\Scripts\python.exe scripts/run_official_smoothllm.py --limit 50 --output-md data/smoothllm_qwen_judge_random50.md --output-csv data/smoothllm_qwen_judge_random50.csv,Official SmoothVLM visual perturbation code/model for strict multimodal reproduction.,Current runner is a compatible approximation unless official SmoothVLM assets are supplied.,,
Table 2,ToolEmu-Sandbox,Placeholder runner,blank,,False,,"ToolEmu official runtime, sandbox LLM/API, tool environment adapter, and scoring config.",Do not fill numbers until the official ToolEmu harness is executable.,,
Table 2,Llama-Guard 3 8B,,blank,,False,,"Llama-Guard 3 8B weights or endpoint, tokenizer, GPU inference config, and score-to-decision mapping.",Left blank because the user previously asked to skip Llama-Guard 3.,,
Table 3,Cross-backbone GPT-4V,,blank,,False,,"GPT-4V-compatible API, exact agent prompt, and generated action trajectories.",WAMI can evaluate trajectories after the backbone produces them.,,
Table 3,Cross-backbone Llama-3-8B,,blank,,False,,Llama-3-8B or multimodal wrapper endpoint/weights and exact agent prompt.,Needs a backbone trajectory collection run before WAMI scoring.,,
Table 3,Cross-backbone Qwen-VL-Max,Qwen-compatible live/runtime and VPI runners exist,partial,data/current_cyberseceval3_vpi_qwenvl_40.md,True,D:\论文111\.venv\Scripts\python.exe scripts/run_cyberseceval3_vpi_wami_qwenvl.py --limit 40 --output-md data/current_cyberseceval3_vpi_qwenvl_40.md --output-csv data/current_cyberseceval3_vpi_qwenvl_40.csv,Qwen-VL-Max API config and exact InjecAgent/BIPIA agent trajectory generation for strict Table 3.,"Current Qwen-VL run is multimodal VPI adaptation, not full Table 3.",,
Figure 4,ROC curves,WAMI score export and ROC/threshold files,implemented,data/paper_mine_v3fast_e4_threshold_curve.md,True,D:\论文111\.venv\Scripts\python.exe scripts/export_paper_mine_scores.py --model wami_paper_mine_sourceaware_recall_seed2061_e4_cuda.pt --test-data data/injecagent_wami.jsonl --test-data data/bipia_wami.jsonl --test-data data/agentdojo_wami.jsonl --output-md data/paper_mine_v3fast_e4_threshold_curve.md --output-csv data/paper_mine_v3fast_e4_scores.csv,Baseline raw scores for Llama-Guard/ToolEmu/SmoothVLM/Erase are blank until those runs exist.,WAMI ROC is available; baseline ROC rows remain blank.,,
Figure 5,Dynamic threshold sensitivity,Threshold sweep over WAMI scores,implemented,data/current_wami_extra_injecagent_threshold_sensitivity.md,True,D:\论文111\.venv\Scripts\python.exe scripts/run_wami_paper_extra_experiments.py --data data/injecagent_wami.jsonl --model wami_injecagent_current_e3.npz --dataset-name InjecAgent --out-prefix data/current_wami_extra_injecagent --epochs 20,,Score scale differs from the PDF unless the paper-sized torch model is used.,,
Figure 6,Latency decomposition,TDG/world/MINE component profiler,implemented,data/current_wami_extra_injecagent_latency_breakdown.md,True,D:\论文111\.venv\Scripts\python.exe scripts/run_wami_paper_extra_experiments.py --data data/injecagent_wami.jsonl --model wami_injecagent_current_e3.npz --dataset-name InjecAgent --out-prefix data/current_wami_extra_injecagent --epochs 20,Comparable GPU/server if the exact 85 ms paper latency is required.,Current local latency is a real measurement but not the same hardware/model scale.,,
Figure 7,VRAM/resource overhead,Local process resource profiler,implemented,data/wami_resource_profile.md,True,D:\论文111\.venv\Scripts\python.exe scripts/run_wami_resource_profile.py --limit 1000 --output-md data/wami_resource_profile.md --output-csv data/wami_resource_profile.csv,CUDA memory profiling and baseline model memory require the corresponding GPU models.,This fills WAMI local resource usage; baseline VRAM stays blank until models exist.,,
Table 4,ToolBench/AgentBench capability,Capability proxy and small ToolBench adapter exist,partial,data/table4_capability_proxy.md,True,D:\论文111\.venv\Scripts\python.exe scripts/run_table4_capability_proxy.py,"Official ToolBench/AgentBench harness, base model, tools, scorer, and answer logs.",Proxy can be reported as proxy only; official SR fields must remain blank.,,
Table 5,WAMI ablation,TDG/world/MINE/shadow ablation suite,implemented,data/current_wami_paper_ablation_injecagent.md,True,D:\论文111\.venv\Scripts\python.exe scripts/run_wami_ablation_suite.py --data data/injecagent_wami.jsonl --model wami_injecagent_current_e3.npz --dataset-name InjecAgent --output-md data/current_wami_paper_ablation_injecagent.md --output-csv data/current_wami_paper_ablation_injecagent.csv,,"For final paper, rerun with one chosen paper-faithful checkpoint and fixed protocol.",,
Figure 8,Shadow adversarial training dynamics,Training-dynamics exporter,implemented,data/current_wami_extra_injecagent_training_dynamics.md,True,D:\论文111\.venv\Scripts\python.exe scripts/run_wami_training_dynamics.py --data data/injecagent_wami.jsonl --epochs 30 --output-md data/current_wami_extra_injecagent_training_dynamics.md --output-csv data/current_wami_extra_injecagent_training_dynamics.csv,,Uses local WAMI training dynamics; exact paper-sized torch dynamics require the 4-layer/1024 model run.,,
Multimodal extension,CyberSecEval3 VPI/Qwen-VL,Adapted multimodal benchmark runner,partial,data/current_cyberseceval3_vpi_qwenvl_40.md,True,D:\论文111\.venv\Scripts\python.exe scripts/run_cyberseceval3_vpi_wami_qwenvl.py --limit 40 --output-md data/current_cyberseceval3_vpi_qwenvl_40.md --output-csv data/current_cyberseceval3_vpi_qwenvl_40.csv,Native BIPIA multimodal images or a paper-native multimodal split.,"Useful supporting experiment, but not a native paper Table 1/2 row.",,
