split,dataset,vote_rule,ir,fpr,acc,latency_ms,n,use
Full,InjecAgent,1-copy,0.897,0.176,0.896,214.2,2125,main full local baseline
Full,BIPIA,1-copy,0.614,0.226,0.694,270.1,2400,main full local baseline
Full,AgentDojo,1-copy,0.914,0.372,0.904,202.5,2408,main full local baseline
Sample,InjecAgent,1/3 vote,0.95,0.353,0.906,cache-only,117,high-recall too many false positives
Sample,BIPIA,1/3 vote,0.81,0.51,0.65,cache-only,200,high-recall too many false positives
Sample,AgentDojo,1/3 vote,0.97,0.674,0.672,cache-only,186,high-recall too many false positives
Sample,InjecAgent,2/3 vote,0.86,0.176,0.855,753.2,117,balanced 3-copy supplement
Sample,BIPIA,2/3 vote,0.55,0.14,0.705,940.2,200,balanced 3-copy supplement
Sample,AgentDojo,2/3 vote,0.93,0.43,0.763,637.0,186,balanced 3-copy supplement
Sample,InjecAgent,3/3 vote,0.68,0.059,0.718,cache-only,117,low-FPR but low-IR
Sample,BIPIA,3/3 vote,0.33,0.02,0.655,cache-only,200,low-FPR but low-IR
Sample,AgentDojo,3/3 vote,0.76,0.209,0.774,cache-only,186,low-FPR but low-IR
