group,query_id,relevant_tools,generated_tools,tool_match,planner_success_proxy,wami_allowed,wami_reason,wami_score,latency_ms,query,generated_plan
G1,1,checkhealthforsquake;projectsforsquake,checkhealthforsquake;projectsforsquake,1.0,True,False,intent alignment score below dynamic threshold,-1.8496408462524414,561.206299928017,"I'm working on a logistics project for my company and need to check the health of the SQUAKE API. Can you verify the API health by calling the 'Checkhealth' API endpoint? Additionally, I would like to retrieve the list of projects using the 'Projects' API endpoint.","Action: checkhealthforsquake(input=""Checkhealth"")
Action: projectsforsquake(input=""Projects"")"
G1,2,checkhealthforsquake;projectsforsquake,projectsforsquake;checkhealthforsquake,1.0,True,True,trajectory remained aligned,5.456672191619873,479.0107000153512,"As a sustainability enthusiast, I'm interested in exploring the projects available on the SQUAKE platform. Could you fetch the list of projects using the 'Projects' API? Additionally, I would like to check the health of the SQUAKE API using the 'Checkhealth' API.","Action: projectsforsquake(input=""..."")
Action: checkhealthforsquake(input=""..."")"
G1,3,checkhealthforsquake;projectsforsquake,projectsforsquake;checkhealthforsquake,1.0,True,False,intent alignment score below dynamic threshold,-0.10675489902496338,474.5260999770835,"I'm organizing a sustainability event for my community and would like to showcase various projects promoting eco-friendly practices. Could you provide me with a list of projects available on the SQUAKE platform using the 'Projects' API? Additionally, I would like to check the health of the SQUAKE API using the 'Checkhealth' API.","Action: projectsforsquake(input=""Sustainability"")
Action: checkhealthforsquake()"
G1,4,checkhealthforsquake;projectsforsquake,projectsforsquake;checkhealthforsquake,1.0,True,True,trajectory remained aligned,4.6484808921813965,570.2483999775723,"My friend and I are passionate about sustainability and want to contribute to projects that promote eco-friendly practices. Can you fetch the list of projects available on the SQUAKE platform using the 'Projects' API? Additionally, I would like to check the health of the SQUAKE API using the 'Checkhealth' API.","Action: projectsforsquake(input=""SQUAKE"")
Action: checkhealthforsquake(input=""SQUAKE"")"
G1,5,trackingcorreoargentinocreatetaskservicetrackingcodefortransportistasdeargentina;trackingcorreoargentinoresulttasktaskidfortransportistasdeargentina,trackingcorreoargentinocreatetaskservicetrackingcodefortransportistasdeargentina,0.5,False,True,trajectory remained aligned,1.4150335788726807,674.3511999957263,I need to track a package sent through Correo Argentino. The tracking code is 'ABC123'. Please create a task to get the history of the package and provide me with the task ID. I will use the task ID to retrieve the result later.,"Action: trackingcorreoargentinocreatetaskservicetrackingcodefortransportistasdeargentina(input=""trackingCode=ABC123"")"
G2,1,gettrackingdataforcreatecontainertracking;checkhealthforsquake,gettrackingdataforcreatecontainertracking;checkhealthforsquake,1.0,True,True,trajectory remained aligned,5.908769130706787,1054.5969000086188,"I'm starting an e-commerce business and I need to integrate a package tracking feature. Can you provide me with the tracking data for the shipment with ID 6045e2f44e1b233199a5e77a? Also, I would like to check the health status of the SQUAKE authentication system.","Action: gettrackingdataforcreatecontainertracking(input=""shipment_id=6045e2f44e1b233199a5e77a"")
Action: checkhealthforsquake(input=""system=SQUAKE"")"
G2,2,ilforturkeypostalcodes;trackingcorreoargentinoresulttasktaskidfortransportistasdeargentina,ilforturkeypostalcodes,0.5,False,True,trajectory remained aligned,1.1340599060058594,376.5628000255674,"I'm planning a trip to Istanbul and I need to know the postal codes for different districts. Can you provide me with the postal codes for the districts in Istanbul with plate number 34? Additionally, I would like to track a package with the task ID 987654321.","Action: ilforturkeypostalcodes(input=""34"")"
G2,3,ilforturkeypostalcodes;trackingcorreoargentinoresulttasktaskidfortransportistasdeargentina,ilforturquelpostalcodes;trackingcorreoargentinoresulttasktaskidfortransportistasdeargentina,0.5,False,True,trajectory remained aligned,2.7968454360961914,1020.4136000247672,"I'm planning a trip to Buenos Aires and I need to know the postal codes for different districts. Can you provide me with the postal codes for the districts in Buenos Aires with plate number 1? Additionally, I would like to track a package with the task ID 987654321.","Action: ilforturquelpostalcodes(input=""Buenos Aires, plate number 1"")
Action: trackingcorreoargentinoresulttasktaskidfortransportistasdeargentina(input=""987654321"")"
G3,1,listofcocktailsforthecocktaildb;detailedcocktailrecipebyidforthecocktaildb;newssearchforwebsearch,listofcocktailsforthecocktaildb;detailedcocktailrecipebyidforthecocktaildb;newssearchforwebsearch,1.0,True,True,trajectory remained aligned,2.25474214553833,869.6849000407383,"I'm planning a surprise birthday party for my best friend. Can you help me find a list of popular cocktails to serve at the party? Also, I need some suggestions for cocktail recipes that are easy to make. Additionally, find some interesting news articles related to birthday celebrations.","Action: listofcocktailsforthecocktaildb(input=""popular"")
Action: detailedcocktailrecipebyidforthecocktaildb(input=""easy"")
Action: newssearchforwebsearch(input=""birthday celebrations"")"
G3,2,listofcocktailsforthecocktaildb;detailedcocktailrecipebyidforthecocktaildb;newssearchforwebsearch;iexregulationshothresholdsecuritieslistforinvestorsexchangeiextrading,listofcocktailsforthecocktaildb;newssearchforwebsearch;iexregulationshothresholdsecuritieslistforinvestorsexchangeiextrading,0.75,False,True,trajectory remained aligned,4.145545959472656,1142.2741999849677,"I'm a food enthusiast and I want to explore different cuisines. Can you suggest some popular cocktails and their recipes that pair well with different types of cuisine? Also, find some interesting news articles about the culinary world. Additionally, provide me with the current threshold securities list for NVIDIA's stock.","Action: listofcocktailsforthecocktaildb(input={""cuisine"": ""various""})
Action: newssearchforwebsearch(input=""culinary world"")
Action: iexregulationshothresholdsecuritieslistforinvestorsexchangeiextrading(input=""NVIDIA"")"
