dataset,method,ir,fpr,acc,latency_ms,status,source,note
BIPIA,GuardReasoner-VL Eco-3B 4bit,0.72,0.72,0.5,28985.4,sampled-local-4bit,data/guardreasoner_vl_final_selected_result.csv,"Local released GuardReasoner-VL Eco-3B checkpoint through transformers 4-bit; response-only adapter; sampled partial run."
BIPIA,Llama-Guard 3 8B local/Ollama,0.12,0.01,0.555,2312.2232934995554,sampled-local-ollama,data/llamaguard3_ollama_pc100_summary.csv,"Local Ollama llama-guard3:8b run on 100 attack + 100 benign samples; maps unsafe to block."
BIPIA,WebAgentGuard qwen2.5 + action_fidelity,0.72,0.16,0.78,,selected-action-fidelity,data/webagentguard_final_action_fidelity_operating_point.md,"Selected calibrated WebAgentGuard-style operating point: next_action, risk_score >= 80."
BIPIA,AgentDojo official PI detector,0.4766666666666667,0.3408333333333333,0.5679166666666666,160.43646074996408,implemented-official-detector,data/agentdojo_official_detector_wami_datasets_full.csv,"Official AgentDojo TransformersBasedPIDetector applied to the same WAMI-format datasets via tool-output input adapter; full available split, no LLM API."
BIPIA,BookAgent-style Constraint Verifier,0.9283333333333333,0.0,0.9641666666666666,0.10056508331520793,method-level-bookagent-constraints,data/bookagent_constraint_verifier_full.csv,"Adapts BookAgent's VAS safety guardrails, safety auditor, verify-revise loop, and TCC sequence consistency to agent trajectory defense."
BIPIA,WAMI paper-faithful,0.9975,0.005,0.99625,38.83584362498368,implemented,data/paper_mine_ensemble_sourceaware_triplet_taua45_taub50_results.csv,Use paper-faithful source-aware + triplet-slot ensemble OR; no direct hard-rule veto.
InjecAgent,GuardReasoner-VL Eco-3B 4bit,0.36,0.2,0.58,21836.3,sampled-local-4bit,data/guardreasoner_vl_final_selected_result.csv,"Local released GuardReasoner-VL Eco-3B checkpoint through transformers 4-bit; response-only adapter; sampled partial run."
InjecAgent,Llama-Guard 3 8B local/Ollama,0.77,0.0,0.885,2257.6062175026163,sampled-local-ollama,data/llamaguard3_ollama_pc100_summary.csv,"Local Ollama llama-guard3:8b run on 100 attack + 100 benign samples; maps unsafe to block."
InjecAgent,WebAgentGuard qwen2.5 + action_fidelity,0.80,0.00,0.90,,selected-action-fidelity,data/webagentguard_final_action_fidelity_operating_point.md,"Selected calibrated WebAgentGuard-style operating point: full_trajectory, risk_score >= 80."
InjecAgent,AgentDojo official PI detector,0.7813092979127134,0.6470588235294118,0.5662650602409639,110.41892204110148,implemented-official-detector,data/agentdojo_official_detector_wami_datasets_full.csv,"Official AgentDojo TransformersBasedPIDetector applied to the same WAMI-format datasets via tool-output input adapter; full available split, no LLM API."
InjecAgent,BookAgent-style Constraint Verifier,0.6968690702087287,0.0,0.8490432317505315,0.0640433734890532,method-level-bookagent-constraints,data/bookagent_constraint_verifier_full.csv,"Adapts BookAgent's VAS safety guardrails, safety auditor, verify-revise loop, and TCC sequence consistency to agent trajectory defense."
InjecAgent,WAMI paper-faithful,0.8676470588235294,0.058823529411764705,0.9045594141270966,41.971003401852016,implemented,data/paper_mine_ensemble_sourceaware_triplet_taua45_taub50_results.csv,Use paper-faithful source-aware + triplet-slot ensemble OR; no direct hard-rule veto.
AgentDojo,GuardReasoner-VL Eco-3B 4bit,0.42,0.408,0.505,21168.7,sampled-local-4bit,data/guardreasoner_vl_final_selected_result.csv,"Local released GuardReasoner-VL Eco-3B checkpoint through transformers 4-bit; response-only adapter; sampled partial run."
AgentDojo,Llama-Guard 3 8B local/Ollama,0.67,0.11627906976744186,0.7688172043010753,2250.3356365562086,sampled-local-ollama,data/llamaguard3_ollama_pc100_summary.csv,"Local Ollama llama-guard3:8b run on 100 attack + 86 benign samples; maps unsafe to block."
AgentDojo,WebAgentGuard qwen2.5 + action_fidelity,0.72,0.08,0.746,,selected-action-fidelity,data/webagentguard_final_action_fidelity_operating_point.md,"Selected calibrated WebAgentGuard-style operating point: full_trajectory, risk_score >= 85."
AgentDojo,AgentDojo official PI detector,0.25749559082892415,0.2558139534883721,0.3215926493108729,47.33109846853781,implemented-official-detector,data/agentdojo_official_detector_wami_datasets_full.csv,"Official AgentDojo TransformersBasedPIDetector applied to the same WAMI-format datasets via tool-output input adapter; full available split, no LLM API."
AgentDojo,BookAgent-style Constraint Verifier,0.599647266313933,0.03488372093023256,0.6477794793261868,0.09344578870382463,method-level-bookagent-constraints,data/bookagent_constraint_verifier_full.csv,"Adapts BookAgent's VAS safety guardrails, safety auditor, verify-revise loop, and TCC sequence consistency to agent trajectory defense."
AgentDojo,WAMI paper-faithful,0.9717813051146384,0.09302325581395349,0.9632465543644717,37.21692082707472,implemented,data/paper_mine_triplet_slot_seed4071_e4_tau50_results.csv,Use triplet-slot single model for AgentDojo because ensemble OR raises FPR.
