backbone,dataset,n,attack,benign,ir,fpr,acc,planner_risk_rate,wami_action_block_rate,latency_ms,status,source,note
Qwen2.5-7B-Instruct local,Ollama live-agent InjecAgent,4233,2108,2125,0.48,0.0,0.741,0.528,0.908,4556.1,full-local-boosted,data/qwen25_7b_ollama_boost_full_all_datasets_summary.md,"Boosted local live-agent setting with planner retries and bootstrap observation."
Qwen2.5-7B-Instruct local,Ollama live-agent BIPIA,2400,1200,1200,0.914,0.005,0.955,0.914,1.0,2538.9,full-local-boosted,data/qwen25_7b_ollama_boost_full_all_datasets_summary.md,"Boosted local live-agent setting with planner retries and bootstrap observation."
Qwen2.5-7B-Instruct local,Ollama live-agent AgentDojo,653,567,86,0.358,0.093,0.43,0.374,0.958,3425.3,full-local-boosted,data/qwen25_7b_ollama_boost_full_all_datasets_summary.md,"Boosted local live-agent setting with planner retries and bootstrap observation."
Mistral-v0.3 local,Ollama live-agent InjecAgent,100,50,50,0.76,0.0,0.88,0.76,1.0,4525.8,sampled-local-50x50,data/mistral_v03_table3_injecagent_50x50.md,"Already installed local Mistral v0.3 backbone; max-directive-parser + runtime flow check."
Mistral-v0.3 local,Ollama live-agent BIPIA,100,50,50,1.0,0.0,1.0,1.0,1.0,5903.6,sampled-local-50x50,data/mistral_v03_table3_bipia_50x50.md,"Already installed local Mistral v0.3 backbone; max-directive-parser + runtime flow check."
Mistral-v0.3 local,Ollama live-agent AgentDojo,100,50,50,0.86,0.08,0.89,0.92,0.935,4537.4,sampled-local-50x50,data/mistral_v03_table3_agentdojo_50x50.md,"Already installed local Mistral v0.3 backbone; max-directive-parser + runtime flow check."
Llama-3-8B local,Ollama live-agent InjecAgent,100,50,50,0.86,0.0,0.93,0.86,1.0,2886.2,sampled-local-50x50,data/llama3_8b_table3_injecagent_50x50.md,"Installed local llama3:8b backbone; max-directive-parser + runtime flow check."
Llama-3-8B local,Ollama live-agent BIPIA,100,50,50,1.0,0.0,1.0,1.0,1.0,2492.8,sampled-local-50x50,data/llama3_8b_table3_bipia_50x50.md,"Installed local llama3:8b backbone; max-directive-parser + runtime flow check."
Llama-3-8B local,Ollama live-agent AgentDojo,100,50,50,0.84,0.04,0.9,0.92,0.913,3368.8,sampled-local-50x50,data/llama3_8b_table3_agentdojo_50x50.md,"Installed local llama3:8b backbone; max-directive-parser + runtime flow check."
Qwen-VL-Max API,CyberSecEval3 VPI multimodal,100,50,50,1.0,0.0,1.0,, ,6542.1,multimodal-reference,data/cyberseceval3_vpi_qwenvl_100.md,"Different multimodal visual prompt-injection dataset; supports the VL backbone claim but is not the same three text/tool datasets."
GPT-4V,All,,, ,,,,,,not-run,,"No GPT-4V API/runtime configured."
